TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER
133,33,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,Y,4.00,4.00,3.467714,3.312197,0.0000,0.0000,Y,Y,30.00,30.00,?,?,26.000000,17.000000,2,DURING & AFTER CAMP
37,41,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.844969,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
44,21,Male,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,3.497002,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP
176,69,Female,Malaysia,PENANG,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
171,79,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,N,N,?,?,0.000001,0.000002,0.0000,0.0000,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP
62,44,Male,Malaysia,KEDAH,Active,Active,N,?,Y,N,1.00,?,3.767487,0.000000,1.5833,0.0000,Y,N,5.00,?,?,?,5.500000,?,18,DURING CAMP THEN REMAIN
18,70,Male,Malaysia,PAHANG,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,1.1667,N,Y,?,10.00,?,?,?,1.600000,1,BEFORE & AFTER CAMP
106,70,Male,Malaysia,N SEMBILAN,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,0.10,0.10,0.100000,0.100000,2,DURING & AFTER CAMP
38,41,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.301793,7.142143,11.2500,9.4666,Y,N,25.00,?,?,?,11.020000,4.200000,0,DURING & AFTER CAMP
59,30,Male,Malaysia,SABAH,Active,Active,N,?,N,Y,?,4.00,0.157485,1.239222,0.0000,1.9333,N,N,?,?,?,?,?,5.600000,4,BEFORE & AFTER CAMP
48,24,Male,Malaysia,JOHORE,Active,Active,N,?,Y,N,4.00,?,4.522569,0.000000,1.3333,0.0000,Y,N,10.00,?,?,?,5.200000,?,38,NO ACTIVITY SINCE SEP
37,63,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,27.99,?,0.000000,0.000000,13.1667,5.5500,Y,Y,28.00,5.00,?,?,27.990000,1.800000,1,DURING & AFTER CAMP
21,24,Female,Malaysia,TERENGGANU,Active,Active,N,?,N,Y,?,15.00,6.517911,8.258468,0.0000,0.0000,N,Y,?,10.00,?,?,?,15.000000,2,DURING & AFTER CAMP
15,34,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000272,0.201601,0.0000,0.1000,N,N,?,?,?,?,?,0.300000,5,BEFORE & AFTER CAMP
24,66,Female,Malaysia,N SEMBILAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.730790,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP
33,30,Male,Malaysia,KELANTAN,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0833,0.0000,Y,Y,5.00,5.00,?,?,0.600000,?,33,NO ACTIVITY SINCE SEP
72,27,Male,Malaysia,SARAWAK,Active,Active,N,?,Y,N,1.50,?,18.595242,0.000000,0.0000,0.0000,N,N,?,?,?,?,3.100000,?,37,NO ACTIVITY SINCE SEP
21,35,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.425302,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
48,33,Male,Malaysia,SELANGOR,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000060,0.000000,4.1000,0.0000,N,N,?,?,?,?,1.750000,?,37,NO ACTIVITY SINCE SEP
21,37,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.3667,0.0000,N,N,?,?,?,?,0.600000,?,1,DURING & AFTER CAMP
21,51,Female,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.001297,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP
42,22,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,N,N,?,?,0.000019,0.000208,0.0000,0.0000,Y,Y,1955.00,1025.00,1050.00,100.00,550.000000,100.000000,4,DURING & AFTER CAMP
37,26,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,Y,N,10.00,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
81,24,Female,Malaysia,N SEMBILAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000993,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
30,45,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.143895,0.000000,4.9667,0.0000,Y,N,10.00,?,?,?,2.640000,?,34,NO ACTIVITY SINCE SEP
38,55,Female,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP
45,69,Female,Malaysia,PENANG,Active,Active,Y,10/5/2022,Y,N,27.98,?,0.382207,0.121115,0.0000,0.0000,N,N,?,?,?,?,27.980000,?,12,DURING & AFTER CAMP
118,30,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.016584,0.000000,4.9667,0.0000,Y,N,5.00,?,?,?,10.550000,?,33,NO ACTIVITY SINCE SEP
67,28,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,24,BEFORE CAMP THEN REMAIN
25,22,Female,Malaysia,KELANTAN,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
24,32,Male,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,Y,?,5.00,?,?,0.200000,0.800000,6,BEFORE & AFTER CAMP
33,24,Male,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,2.634521,0.000000,0.5667,0.0000,Y,N,5.00,?,?,?,0.600000,?,2,DURING & AFTER CAMP
32,26,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,1.672209,0.0000,2.5000,N,N,?,?,?,?,?,1.800000,0,DURING & AFTER CAMP
53,26,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,4.978298,2.670709,0.0000,0.0000,N,N,?,?,1.14,?,?,?,5,DURING & AFTER CAMP
21,28,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,17.034331,8.752690,2.4667,1.2833,N,N,?,?,?,?,0.650000,0.400000,0,BEFORE & AFTER CAMP
84,37,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP
206,32,Female,Malaysia,MALACCA,Active,Active,Y,10/5/2022,Y,N,15.00,?,2.930007,0.000000,1.8833,0.0000,Y,N,20.00,?,?,?,1.440000,?,6,DURING & AFTER CAMP
25,36,Female,Malaysia,PENANG,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.1667,0.1000,N,N,?,?,?,?,0.200000,0.200000,14,BEFORE & AFTER CAMP
112,42,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.152231,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP
112,29,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,10,BEFORE & AFTER CAMP
201,56,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,N,N,?,?,0.000000,0.000000,0.4833,0.0000,N,N,?,?,?,?,0.640000,?,15,DURING & AFTER CAMP
89,68,Female,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.391091,0.628568,0.0000,0.0000,N,Y,?,5.00,?,?,?,?,0,BEFORE & AFTER CAMP
