TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,DATE_ID,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER,ID,PLAN_ID,PLAN_TYPE,VAS_ID,VAS_TYPE,YEAR,MONTH,DAY,QUARTER
133,33,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,Y,4.00,4.00,3.467714,3.312197,0.0,0.0,Y,Y,30.00,30.00,?,?,26.000000,17.000000,2,DURING & AFTER CAMP,0,2,Premium,2,Roaming,2022,10,6,4
37,41,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.844969,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,1,2,Premium,2,Roaming,2022,10,6,4
171,79,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,N,N,?,?,1e-06,2e-06,0.0,0.0,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP,4,2,Premium,2,Roaming,2022,10,6,4
38,41,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.301793,7.142143,11.25,9.4666,Y,N,25.00,?,?,?,11.020000,4.200000,0,DURING & AFTER CAMP,8,2,Premium,1,Caller_tune,2022,10,6,4
37,63,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,27.99,?,0.0,0.0,13.1667,5.55,Y,Y,28.00,5.00,?,?,27.990000,1.800000,1,DURING & AFTER CAMP,11,1,Saver,1,Caller_tune,2022,10,6,4
24,66,Female,Malaysia,N SEMBILAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.73079,0.0,0.0,0.0,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP,14,2,Premium,1,Caller_tune,2022,10,5,4
21,35,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.425302,0.0,0.0,0.0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,17,2,Premium,2,Roaming,2022,10,6,4
48,33,Male,Malaysia,SELANGOR,Active,Active,Y,10/5/2022,Y,N,15.00,?,6e-05,0.0,4.1,0.0,N,N,?,?,?,?,1.750000,?,37,NO ACTIVITY SINCE SEP,18,1,Saver,1,Caller_tune,2022,10,5,4
21,37,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.3667,0.0,N,N,?,?,?,?,0.600000,?,1,DURING & AFTER CAMP,19,2,Premium,1,Caller_tune,2022,10,5,4
21,51,Female,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.001297,0.0,0.0,0.0,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP,20,1,Saver,2,Roaming,2022,10,5,4
42,22,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,N,N,?,?,1.9e-05,0.000208,0.0,0.0,Y,Y,1955.00,1025.00,1050.00,100.00,550.000000,100.000000,4,DURING & AFTER CAMP,21,2,Premium,1,Caller_tune,2022,10,5,4
37,26,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,N,N,?,?,0.0,0.0,0.0,0.0,Y,N,10.00,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,22,2,Premium,2,Roaming,2022,10,5,4
81,24,Female,Malaysia,N SEMBILAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000993,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,23,1,Saver,2,Roaming,2022,10,5,4
30,0,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.143895,0.0,4.9667,0.0,Y,N,10.00,?,?,?,2.640000,?,34,NO ACTIVITY SINCE SEP,24,1,Saver,1,Caller_tune,2022,10,5,4
45,69,Female,Malaysia,PENANG,Active,Active,Y,10/5/2022,Y,N,27.98,?,0.382207,0.121115,0.0,0.0,N,N,?,?,?,?,27.980000,?,12,DURING & AFTER CAMP,26,1,Saver,1,Caller_tune,2022,10,5,4
118,30,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.016584,0.0,4.9667,0.0,Y,N,5.00,?,?,?,10.550000,?,33,NO ACTIVITY SINCE SEP,27,2,Premium,1,Caller_tune,2022,10,6,4
67,28,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,24,BEFORE CAMP THEN REMAIN,28,2,Premium,1,Caller_tune,2022,10,6,4
32,26,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,1.672209,0.0,2.5,N,N,?,?,?,?,?,1.800000,0,DURING & AFTER CAMP,32,1,Saver,2,Roaming,2022,10,5,4
53,26,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,4.978298,2.670709,0.0,0.0,N,N,?,?,1.14,?,?,?,5,DURING & AFTER CAMP,33,1,Saver,2,Roaming,2022,10,6,4
21,28,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,17.034331,8.75269,2.4667,1.2833,N,N,?,?,?,?,0.650000,0.400000,0,BEFORE & AFTER CAMP,34,1,Saver,1,Caller_tune,2022,10,5,4
84,37,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP,35,1,Saver,1,Caller_tune,2022,10,5,4
206,32,Female,Malaysia,MALACCA,Active,Active,Y,10/5/2022,Y,N,15.00,?,2.930007,0.0,1.8833,0.0,Y,N,20.00,?,?,?,1.440000,?,6,DURING & AFTER CAMP,36,2,Premium,1,Caller_tune,2022,10,5,4
25,36,Female,Malaysia,PENANG,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.1667,0.1,N,N,?,?,?,?,0.200000,0.200000,14,BEFORE & AFTER CAMP,37,1,Saver,1,Caller_tune,2022,10,6,4
112,42,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.152231,0.0,0.0,0.0,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP,38,1,Saver,2,Roaming,2022,10,6,4
112,29,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,10,BEFORE & AFTER CAMP,39,1,Saver,2,Roaming,2022,10,6,4
201,56,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,N,N,?,?,0.0,0.0,0.4833,0.0,N,N,?,?,?,?,0.640000,?,15,DURING & AFTER CAMP,40,1,Saver,1,Caller_tune,2022,10,5,4
41,57,Female,Malaysia,PAHANG,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.007449,0.007389,0.0,0.0,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP,42,2,Premium,2,Roaming,2022,10,5,4
18,53,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.213881,1e-06,0.1333,0.0833,N,N,?,?,?,?,0.400000,0.500000,1,DURING & AFTER CAMP,43,2,Premium,1,Caller_tune,2022,10,6,4
152,33,Female,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,Y,N,10.00,?,?,?,?,?,35,NO ACTIVITY SINCE SEP,44,2,Premium,1,Caller_tune,2022,10,5,4
72,67,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,N,N,?,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,45,2,Premium,2,Roaming,2022,10,6,4
35,64,Male,Malaysia,PAHANG,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.1e-05,0.0,0.0,0.0,N,Y,?,15.00,?,?,?,?,3,DURING & AFTER CAMP,46,1,Saver,1,Caller_tune,2022,10,6,4
45,65,Male,Malaysia,KELANTAN,Active,Active,Y,10/6/2022,Y,N,14.99,?,5.625761,0.0,17.7167,0.0,Y,N,150.00,?,4.20,?,83.990000,?,39,NO ACTIVITY SINCE SEP,50,1,Saver,2,Roaming,2022,10,6,4
33,25,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,8e-05,4.568519,0.0,0.0,Y,N,10.00,?,?,15.90,?,15.900000,0,DURING & AFTER CAMP,51,2,Premium,1,Caller_tune,2022,10,6,4
29,27,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,29.98,?,0.001399,0.0,0.0,0.0,Y,N,980.00,?,991.00,?,1029.980000,?,33,NO ACTIVITY SINCE SEP,54,1,Saver,2,Roaming,2022,10,6,4
181,54,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.8833,0.0,Y,N,10.00,?,?,?,0.850000,?,0,BEFORE & AFTER CAMP,57,1,Saver,1,Caller_tune,2022,10,6,4
29,22,Female,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.804914,0.0,0.0,0.0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,59,1,Saver,2,Roaming,2022,10,5,4
26,25,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000198,0.0,0.0,0.0,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP,61,2,Premium,1,Caller_tune,2022,10,6,4
25,24,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,Y,45.00,1.00,35.610532,64.012952,16.4167,77.75,Y,N,50.00,?,3.90,0.70,?,1.700000,0,DURING & AFTER CAMP,62,2,Premium,1,Caller_tune,2022,10,6,4
21,22,Male,Malaysia,KELANTAN,Active,Active,Y,10/6/2022,N,N,?,?,0.0,0.0,0.0,0.0,Y,N,5.00,?,?,?,?,?,23,BEFORE CAMP THEN REMAIN,63,2,Premium,1,Caller_tune,2022,10,6,4
75,57,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.083205,2.4e-05,0.0,5.1167,N,N,?,?,?,?,?,2.400000,9,BEFORE & AFTER CAMP,64,2,Premium,2,Roaming,2022,10,6,4
20,70,Male,Malaysia,MALACCA,Active,Active,Y,10/5/2022,Y,N,15.00,?,2.9e-05,1.7e-05,0.0,0.0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,65,1,Saver,1,Caller_tune,2022,10,5,4
22,24,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,8.278478,0.0,16.85,0.0,Y,N,85.00,?,?,?,43.870000,?,37,NO ACTIVITY SINCE SEP,66,2,Premium,1,Caller_tune,2022,10,6,4
39,29,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000206,0.184808,0.0,0.0,N,N,?,?,?,?,?,?,12,BEFORE & AFTER CAMP,67,2,Premium,2,Roaming,2022,10,6,4
59,33,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,69,1,Saver,1,Caller_tune,2022,10,5,4
33,28,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,27.98,?,1.464862,0.0,202.5,0.0,N,Y,?,5.00,?,?,39.980000,6.000000,9,DURING & AFTER CAMP,70,2,Premium,1,Caller_tune,2022,10,6,4
72,66,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,N,N,?,?,0.0,0.0,1.1167,1.3666,N,N,?,?,?,?,68.390000,0.520000,7,DURING & AFTER CAMP,71,2,Premium,2,Roaming,2022,10,5,4
20,25,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000105,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,72,1,Saver,2,Roaming,2022,10,6,4
69,36,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.530066,0.0,0.05,0.0,N,N,?,?,?,?,0.300000,?,36,NO ACTIVITY SINCE SEP,73,1,Saver,1,Caller_tune,2022,10,5,4
47,22,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,2.540316,9.430508,0.0,0.0,Y,Y,5.00,20.00,?,?,?,10.100000,0,DURING & AFTER CAMP,74,2,Premium,2,Roaming,2022,10,5,4
30,70,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,0.01517,26.57045,0.0,0.0833,N,Y,?,5.00,?,?,?,4.930000,0,DURING & AFTER CAMP,75,2,Premium,1,Caller_tune,2022,10,5,4
23,70,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,10.00,9.160062,106.167797,3.7,1.6166,Y,Y,25.00,115.00,5.00,2.50,19.500000,127.570000,0,DURING & AFTER CAMP,76,2,Premium,1,Caller_tune,2022,10,5,4
19,26,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,21.603641,0.0,0.0,0.0,Y,N,30.00,?,?,?,17.600000,?,39,NO ACTIVITY SINCE SEP,77,1,Saver,2,Roaming,2022,10,5,4
35,28,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,N,N,?,?,0.0,0.0,0.0,0.0,Y,N,30.00,?,?,?,6.000000,?,24,BEFORE CAMP THEN REMAIN,78,2,Premium,2,Roaming,2022,10,6,4
18,73,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,4.7e-05,0.0,0.0,0.0,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP,79,2,Premium,1,Caller_tune,2022,10,5,4
